id,ping,download,upload,server_id,server_name,server_host,url,scheduled,failed,created_at,updated_at
542,4.915,197.158712,356.675392,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/44d53e53-d3e5-4436-8b5e-b6f49587741e,1,0,"2022-01-18 19:02:24","2022-01-18 19:02:24"
543,4.355,232.43436,357.675288,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/0947d58e-a4ad-4d8d-9440-e333fb3cec01,1,0,"2022-01-18 19:04:24","2022-01-18 19:04:24"
544,3.701,228.448112,357.503392,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/3063e1ef-ddcd-4fed-862c-9faa92721e6b,1,0,"2022-01-18 19:06:25","2022-01-18 19:06:25"
545,3.947,245.223664,357.271368,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/d7d0adc7-4a4b-4668-ac75-b2e520c7b30f,1,0,"2022-01-18 19:08:29","2022-01-18 19:08:29"
546,4.023,250.427296,356.80864,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/50d2dd98-4e0b-497c-9536-6f63568b7649,1,0,"2022-01-18 19:10:25","2022-01-18 19:10:25"
547,4.673,234.041912,356.221064,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/0063e936-1916-45e1-9320-c82965fd3924,1,0,"2022-01-18 19:12:24","2022-01-18 19:12:24"
548,4.744,212.776016,356.68608,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/b05dbe89-2895-4056-b445-3161a4033ad0,1,0,"2022-01-18 19:14:28","2022-01-18 19:14:28"
549,3.734,243.96568,356.79384,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/19f7f5a9-6b94-4a8d-86cf-edc8304712d8,1,0,"2022-01-18 19:16:27","2022-01-18 19:16:27"
550,4.142,218.300736,357.27608,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/743c17d8-6cc4-485d-86f1-c564cdefdea2,1,0,"2022-01-18 19:18:26","2022-01-18 19:18:26"
551,4.161,224.182752,356.714568,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/1ae4a9a8-6e92-4566-873f-5d731a16e603,1,0,"2022-01-18 19:20:27","2022-01-18 19:20:27"
552,4.237,202.932272,356.761096,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/cfec6162-dfc1-4854-9471-c9155391fa22,1,0,"2022-01-18 19:22:25","2022-01-18 19:22:25"
553,4.522,259.914672,356.590232,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/101d244e-33b4-48a6-b284-77b24bfc1d36,1,0,"2022-01-18 19:24:25","2022-01-18 19:24:25"
554,5.193,200.008424,356.006448,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/d4b7e14c-b62f-4c80-942b-894da2e8fa78,1,0,"2022-01-18 19:26:24","2022-01-18 19:26:24"
555,5.458,193.744288,357.269848,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/1d4a2b3e-96fa-4f3f-adbe-7c08af1d6458,1,0,"2022-01-18 19:28:25","2022-01-18 19:28:25"
556,4.372,194.789224,356.77164,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/b8b21fce-4f14-4bdb-aa54-3d39f89f59d1,1,0,"2022-01-18 19:30:31","2022-01-18 19:30:31"
557,5.526,201.441888,357.207864,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/cf7a6816-f72d-47bb-a545-ccc6b17e2eea,1,0,"2022-01-18 19:32:26","2022-01-18 19:32:26"
558,4.135,171.769432,356.123032,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/0d75dd75-c585-4f2a-98f7-6461f762429b,1,0,"2022-01-18 19:34:25","2022-01-18 19:34:25"
559,4.251,197.414272,356.812616,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/cd18dea4-df7e-4679-b94a-25517d16642f,1,0,"2022-01-18 19:36:26","2022-01-18 19:36:26"
560,5.119,194.366328,358.255728,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/06d29e4d-efe1-4cff-98dc-9715e42abac8,1,0,"2022-01-18 19:38:25","2022-01-18 19:38:25"
561,4.542,191.217376,357.61436,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/73cccffd-e5bb-4287-9a8f-f6b31d9bc633,1,0,"2022-01-18 19:40:18","2022-01-18 19:40:18"
562,5.73,192.240832,356.669624,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/9a5010fd-1a55-442a-a5d8-2aac797573b3,1,0,"2022-01-18 19:42:29","2022-01-18 19:42:29"
563,4.533,172.49668,357.489616,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/1586a6fe-1256-47d3-bb36-8747a6694606,1,0,"2022-01-18 19:44:29","2022-01-18 19:44:29"
564,5.115,227.769608,356.909288,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/1be90b8d-d662-48c8-a89c-3be5d27d5305,1,0,"2022-01-18 19:46:25","2022-01-18 19:46:25"
565,5.32,224.312448,356.610136,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/5a16ab21-e29a-426a-8971-6677b92282b0,1,0,"2022-01-18 19:48:24","2022-01-18 19:48:24"
566,4.053,214.718768,356.759824,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/35057eef-9b82-45b8-8b32-6d18f740e878,1,0,"2022-01-18 19:50:26","2022-01-18 19:50:26"
567,4.574,265.791424,356.369968,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/f9ba50ca-2904-426a-b0e5-e21f2e2c477d,1,0,"2022-01-18 19:52:23","2022-01-18 19:52:23"
568,4.737,244.279376,356.791072,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/ca4a61d1-46e3-4df9-a062-d55b4e4aa061,1,0,"2022-01-18 19:54:20","2022-01-18 19:54:20"
569,4.534,192.260568,357.66488,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/043522ce-de3b-486c-97dd-5c5ef0e2d88e,1,0,"2022-01-18 19:56:25","2022-01-18 19:56:25"
570,4.152,234.940688,356.47624,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/57b2ce0d-27a2-411b-9471-5640a6b1431e,1,0,"2022-01-18 19:58:25","2022-01-18 19:58:25"
571,4.592,208.199032,356.725416,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/20286b46-dd28-47d6-9224-12170cb00aed,1,0,"2022-01-18 20:00:29","2022-01-18 20:00:29"
572,5.623,189.144576,356.299296,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/ea5cef5f-f878-45c7-a2c2-e7dfce5e7ef6,1,0,"2022-01-18 20:02:29","2022-01-18 20:02:29"
573,4.917,215.687272,356.529312,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/bb215142-334c-4e73-b658-545895f887b4,1,0,"2022-01-18 20:04:25","2022-01-18 20:04:25"
574,4.616,187.072376,356.988808,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/af350f23-31be-4386-8be9-6153e4435502,1,0,"2022-01-18 20:06:22","2022-01-18 20:06:22"
